%Sampling Frequency (Hz): 250,,,,,,,,,,
%Filter Frequency (Hz): 10,,,,,,,,,,
%Port Number, Selector Dynamic Pressure {P#-Pstatic} (Pa), Airspeed Dynamic {qinf} (Pa), Free Stream Velocity {Vinf} (m/s), Angle of Attack (deg), Normal (N), Axial (N), Pitching (Nm), BLP X (mm), BLP Y (mm), Density (kg/m^3)
12,-78.30667783,30.18170711,8.08988743,-0.6747537,-49.03523321,-30.09360199,1.37796954,0,0,0.92233532
12,-78.30667783,30.33976626,8.03423595,-0.68516528,-49.03523321,-30.09360199,1.37796954,0,0,0.94005456
12,-78.54685085,30.10267753,7.97091194,-0.70598844,-49.03523321,-30.09360199,1.37796954,0,0,0.94758701
12,-78.70696619,30.18170711,7.94331823,-0.6747537,-49.03523321,-30.09360199,1.37796954,0,0,0.956687
12,-78.62690852,30.26073668,8.18565566,-0.68516528,-49.03523321,-30.09360199,1.37796954,0,0,0.90323873
12,-78.70696619,30.41879584,8.32833999,-0.64351896,-49.03523321,-30.09360199,1.37796954,0,0,0.87711214
13,-81.26881171,29.94461837,8.03669897,-0.63310738,-49.03523321,-30.09360199,1.37796954,0,0,0.9272426
13,-81.10869637,30.26073668,8.33948933,-0.64351896,-49.03523321,-30.09360199,1.37796954,0,0,0.87022304
13,-81.18875404,29.94461837,8.1721344,-0.65393054,-49.03523321,-30.09360199,1.37796954,0,0,0.8967632
13,-81.26881171,29.78655922,8.07511781,-0.66434212,-49.03523321,-30.09360199,1.37796954,0,0,0.91359266
13,-81.42892706,29.94461837,8.02175043,-0.68516528,-49.03523321,-30.09360199,1.37796954,0,0,0.93070165
13,-81.18875404,29.94461837,7.96699843,-0.68516528,-49.03523321,-30.09360199,1.37796954,0,0,0.94353783
13,-81.26881171,30.10267753,7.92056569,-0.6747537,-49.03523321,-30.09360199,1.37796954,0,0,0.95967177
13,-81.34886938,30.10267753,8.27029201,-0.6747537,-49.03523321,-30.09360199,1.37796954,0,0,0.88022446
13,-81.50898473,30.02364795,8.19125092,-0.68516528,-49.03523321,-30.09360199,1.37796954,0,0,0.89493809
13,-81.42892706,30.02364795,8.09122688,-0.68516528,-49.03523321,-30.09360199,1.37796954,0,0,0.91720137
